PALI,ENGLISH,CASE,NUM,GENDER,PERSON,VOICE,OBJECT,NOTES,Occurance
ādīnavānupassino,,,,,,,,,2
ājīvo,,,,,,,,,2
āmantesi,,,,,,,,,1
ārāme,,,,,,,,,1
āyatiṃ,,,,,,,,,4
aṭṭhaṅgikaṃ,,,,,,,,,2
aṭṭhaṅgiko,,,,,,,,,2
abhiññā,,,,,,,,,32
abhinandunti,,,,,,,,,1
adukkhamasukhaṃ,,,,,,,,,8
ajānaṃ,,,,,,,,,14
anāthapiṇḍikassa,,,,,,,,,1
apacayaṃ,,,,,,,,,2
apassaṃ,,,,,,,,,14
ariyaṃ,,,,,,,,,2
ariyo,,,,,,,,,2
asārattassa,,,,,,,,,2
asaṃyuttassa,,,,,,,,,2
asammūḷhassa,,,,,,,,,2
assādānupassino,,,,,,,,,2
attamanā,,,,,,,,,1
avijjā,,,,,,,,,2
balāni,,,,,,,,,2
bhāsissāmī,,,,,,,,,1
bhāsitaṃ,,,,,,,,,1
bhāvanāpāripūriṃ,,,,,,,,,14
bhāvayato,,,,,,,,,2
bhāvetabbā,,,,,,,,,4
bhāveti,,,,,,,,,2
bhadante,,,,,,,,,1
bhagavā,,,,,,,,,5
bhagavato,,,,,,,,,3
bhante,,,,,,,,,1
bhavataṇhā,,,,,,,,,2
bhikkhū,,,,,,,,,4
bhikkhave,,,,,,,,,24
bhikkhavo,,,,,,,,,1
bojjhaṅgā,,,,,,,,,2
ca,,,,,,,,,23
cakkhuñca,,,,,,,,,1
cakkhuṃ,,,,,,,,,1
cakkhusamphassaṃ,,,,,,,,,2
cakkhusamphassapaccayā,,,,,,,,,4
cakkhusamphasse,,,,,,,,,2
cakkhusmiṃ,,,,,,,,,2
cakkhuviññāṇaṃ,,,,,,,,,2
cakkhuviññāṇe,,,,,,,,,2
cassa,,,,,,,,,8
cattāropi,,,,,,,,,6
cetasikāpi,,,,,,,,,12
cetodukkhampi,,,,,,,,,2
cetosukhampi,,,,,,,,,2
darathā,,,,,,,,,8
desessāmi,,,,,,,,,1
dhammā,,,,,,,,,26
dhamme,,,,,,,,,10
dhammesu,,,,,,,,,2
diṭṭhi,,,,,,,,,2
dukkhaṃ,,,,,,,,,8
dve,,,,,,,,,2
ekaṃ,,,,,,,,,1
etadavoca,,,,,,,,,2
evaṃ,,,,,,,,,4
evamassāyaṃ,,,,,,,,,2
gacchanti,,,,,,,,,16
gacchati,,,,,,,,,2
ghānaṃ,,,,,,,,,2
hoti,,,,,,,,,12
idamavoca,,,,,,,,,1
iddhipādā,,,,,,,,,2
imaṃ,,,,,,,,,2
ime,,,,,,,,,8
indriyāni,,,,,,,,,2
jānaṃ,,,,,,,,,14
jetavane,,,,,,,,,1
jivhaṃ,,,,,,,,,2
kāyaṃ,,,,,,,,,2
kāyadukkhampi,,,,,,,,,2
kāyakammaṃ,,,,,,,,,2
kāyasukhampi,,,,,,,,,2
kāyikāpi,,,,,,,,,12
karotha,,,,,,,,,1
katame,,,,,,,,,8
kho,,,,,,,,,5
maggaṃ,,,,,,,,,2
maggo,,,,,,,,,2
mahāsaḷāyatanikaṃ,,,,,,,,,1
mahāsaḷāyatanikasuttaṃ,,,,,,,,,2
manaṃ,,,,,,,,,2
manasi,,,,,,,,,1
manasmiṃ,,,,,,,,,2
manosamphassaṃ,,,,,,,,,2
manosamphassapaccayā,,,,,,,,,4
manosamphasse,,,,,,,,,2
manoviññāṇaṃ,,,,,,,,,2
manoviññāṇe,,,,,,,,,2
me,,,,,,,,,1
n,,,,,,,,,2
na,,,,,,,,,10
nandīrāgasahagatā,,,,,,,,,4
niṭṭhitaṃ,,,,,,,,,1
pañcapi,,,,,,,,,4
pañcupādānakkhandhā,,,,,,,,,6
paṭisaṃvedeti,,,,,,,,,4
paccassosuṃ,,,,,,,,,2
pahātabbā,,,,,,,,,4
pahātabbā,,,,,,,,,2
pahīyanti,,,,,,,,,12
pahīyati,,,,,,,,,2
pajahati,,,,,,,,,2
panassa,,,,,,,,,2
pariññeyyā,,,,,,,,,4
pariḷāhā,,,,,,,,,8
parijānāti,,,,,,,,,2
passaṃ,,,,,,,,,14
pavaḍḍhanti,,,,,,,,,12
pavaḍḍhati,,,,,,,,,2
pe,,,,,,,,,6
ponobbhavikā,,,,,,,,,4
pubbeva,,,,,,,,,2
rūpe,,,,,,,,,2
rūpesu,,,,,,,,,2
rūpupādānakkhandho,,,,,,,,,2
sā,,,,,,,,,4
sādhukaṃ,,,,,,,,,1
sārajjati,,,,,,,,,20
sārattassa,,,,,,,,,2
sāssa,,,,,,,,,4
sāvatthiyaṃ,,,,,,,,,1
saññupādānakkhandho,,,,,,,,,2
saḷāyatanavaggo,,,,,,,,,1
saṃyuttassa,,,,,,,,,2
saṅkappo,,,,,,,,,2
saṅkhārupādānakkhandho,,,,,,,,,2
sacchikātabbā,,,,,,,,,3
sacchikaroti,,,,,,,,,2
samādhi,,,,,,,,,2
samatho,,,,,,,,,4
samayaṃ,,,,,,,,,1
sammādiṭṭhi,,,,,,,,,2
sammāsaṅkappo,,,,,,,,,2
sammāsamādhi,,,,,,,,,2
sammāsati,,,,,,,,,2
sammāvāyāmo,,,,,,,,,2
sammūḷhassa,,,,,,,,,2
sammappadhānā,,,,,,,,,2
santāpā,,,,,,,,,8
sati,,,,,,,,,2
satipaṭṭhānā,,,,,,,,,2
sattamaṃ,,,,,,,,,1
sattapi,,,,,,,,,2
seyyathidaṃ,,,,,,,,,2
so,,,,,,,,,6
sotaṃ,,,,,,,,,2
suṇātha,,,,,,,,,1
sukhaṃ,,,,,,,,,8
suparisuddho,,,,,,,,,2
sutaṃ,,,,,,,,,1
svāssa,,,,,,,,,6
taṃ,,,,,,,,,1
taṇhā,,,,,,,,,4
tampi,,,,,,,,,4
tasmimpi,,,,,,,,,4
tassa,,,,,,,,,10
tassime,,,,,,,,,2
tathābhūtassa,,,,,,,,,10
tatra,,,,,,,,,1
tatratatrābhinandinī,,,,,,,,,4
te,,,,,,,,,11
tissa,,,,,,,,,2
upacayaṃ,,,,,,,,,2
uparipaṇṇāsapāḷi,,,,,,,,,1
uppajjati,,,,,,,,,8
vā,,,,,,,,,24
vāyāmo,,,,,,,,,2
vacīkammaṃ,,,,,,,,,2
vacanīyaṃ,,,,,,,,,2
vattanti,,,,,,,,,2
vedanupādānakkhandho,,,,,,,,,2
vedayitaṃ,,,,,,,,,8
viññāṇupādānakkhandho,,,,,,,,,2
viharati,,,,,,,,,1
viharato,,,,,,,,,4
vijjā,,,,,,,,,2
vimutti,,,,,,,,,2
vipassanā,,,,,,,,,4
vo,,,,,,,,,1
yā,,,,,,,,,4
yamidaṃ,,,,,,,,,8
yathābhūtaṃ,,,,,,,,,28
ye,,,,,,,,,8
yo,,,,,,,,,6
yuganandhā,,,,,,,,,2
