"Pali"	"English"
"section"	
"{yo\space pana}"	"who "
"bhikkhu "	"bhikkhu "
"bhikkhūnaṁ"	"\esc{\null}"
"sikkhā-"	"training"
"sājīva-"	"livelihood"
"samāpanno"	"{having\space  undertaken}"
"sikkhaṁ"	"training"
"appaccakkhāya"	"{not\space  having\space  rejected}"
"dubbalyaṁ"	"weakness"
"anāvīkatvā"	"{not\space having\space disclosed}"
"methunaṁ"	"{sexual\space intercourse}"
"pārājiko"	"defeated "
"hoti,"	"{he\space is}"
"asaṁvāso. "	"{not\space in\space communion}"
"section"	
"yo"	"who"
"pana"	"\esc{\null}"
"bhikkhu"	"bhikkhu"
"gāmā"	"village"
"vā"	"or"
"araññā"	"wildernes"
"vā"	"or"
"adinnaṁ"	"{that\space which\space is\space not\space given}"
"theyya-"	"theft"
"saṅkhātaṁ"	"{reckoned\space as}"
"ādiyeyya."	"{should\space take}"
"Yathā-"	"{according\space to}"
"rūpe"	"form"
"adinnādāne"	"{on\space account\space of}"
"rājāno"	"{royal\space officers}"
"coraṁ"	"robber"
"gahetvā"	"{having\space caught}"
"haneyyuṁ"	"flog"
"vā"	"or"
"bandheyyuṁ"	"imprison"
"vā"	"or"
"pabbājeyyuṁ"	"banish"
"vā:"	"or"
"'coro'si"	"robber"
"bālo'si"	"fool"
"mūḷho'si"	"insane"
"then'sī!'"	"thief"
"ti"	"\esc{\null}"
"tathārūpaṁ"	"{of\space such\space a\space kind}"
"bhikkhu"	"bhikkhu"
"adinnaṁ"	"{that\space which\space is\space not\space given}"
"ādiyamāno;"	"taking"
"ayam-pi"	"{this\space oe \spacetoo}"
"pārājiko"	"defeated "
"hoti"	"he is"
"asaṁvāso. "	"{not\space in\space communion}"
